SSN Prefix,Years Issued
427-56-####,1936-1950
427-57-####,1987-unknown
427-58-####,1936-1950
427-59-####,1987-unknown
427-60-####,1951-unknown
427-61-####,1988-unknown
427-62-####,1952-unknown
427-63-####,1988-unknown
427-64-####,1952-unknown
427-65-####,1989-1992
427-66-####,1953-unknown
427-67-####,1989-1992
427-68-####,1954-unknown
427-69-####,1989-1992
427-70-####,1955-unknown
427-71-####,1989-1992
427-72-####,1955-unknown
427-73-####,1989-1992
427-74-####,1955-unknown
427-75-####,1993-unknown
427-76-####,1956-unknown
427-77-####,1994-unknown
427-78-####,1956-unknown
427-79-####,1995-unknown
427-80-####,1957-unknown
427-81-####,1996-unknown
427-82-####,1958-unknown
427-83-####,1997-1998
427-84-####,1959-unknown
427-85-####,1998-unknown
427-86-####,1960-unknown
427-87-####,1999-2000
427-88-####,1960-unknown
427-89-####,2000-2001
427-90-####,1961-unknown
427-91-####,2002-2003
427-92-####,1962-unknown
427-93-####,2003-2004
427-94-####,1963-unknown
427-95-####,2004-2005
427-96-####,1963-unknown
427-97-####,2005-2006
427-98-####,1964-1969
427-99-####,2006-2007
428-01-####,1936-1950
428-02-####,1970-unknown
428-03-####,1936-1950
428-04-####,1971-unknown
428-05-####,1936-1950
428-06-####,1971-unknown
428-07-####,1936-1950
428-08-####,1972-unknown
428-09-####,1936-1950
428-10-####,1936-1950
428-11-####,1972-unknown
428-12-####,1936-1950
428-13-####,1973-unknown
428-14-####,1936-1950
428-15-####,1973-unknown
428-16-####,1936-1950
428-17-####,1974-unknown
428-18-####,1936-1950
428-19-####,1974-unknown
428-20-####,1936-1950
428-21-####,1975-unknown
428-22-####,1936-1950
428-23-####,1975-unknown
428-24-####,1936-1950
428-25-####,1976-unknown
428-26-####,1936-1950
428-27-####,1976-unknown
428-28-####,1936-1950
428-29-####,1976-1977
428-30-####,1936-1950
428-31-####,1978-unknown
428-32-####,1936-1950
428-33-####,1979-unknown
428-34-####,1936-1950
428-35-####,1980-unknown
428-36-####,1936-1950
428-37-####,1980-unknown
428-38-####,1936-1950
428-39-####,1981-unknown
428-40-####,1936-1950
428-41-####,1982-unknown
428-42-####,1936-1950
428-43-####,1982-unknown
428-44-####,1936-1950
428-45-####,1983-unknown
428-46-####,1936-1950
428-47-####,1983-unknown
428-48-####,1936-1950
428-49-####,1984-unknown
428-50-####,1936-1950
428-51-####,1985-unknown
428-52-####,1936-1950
428-53-####,1986-unknown
428-54-####,1936-1950
428-55-####,1987-unknown
428-56-####,1936-1950
428-57-####,1987-unknown
428-58-####,1936-1950
