SSN Prefix,Years Issued
322-64-####,1976-unknown
322-66-####,1977-1978
322-68-####,1979-unknown
322-70-####,1980-unknown
322-72-####,1981-1983
322-74-####,1984-unknown
322-76-####,1985-1986
322-78-####,1987-unknown
322-80-####,1988-unknown
322-82-####,1988-unknown
322-84-####,1989-1992
322-86-####,1989-1992
322-88-####,1989-1992
322-90-####,1994-unknown
322-92-####,1995-unknown
322-94-####,1997-1998
322-96-####,1999-unknown
322-98-####,2000-2001
323-01-####,1936-1950
323-02-####,2002-2004
323-03-####,1936-1950
323-04-####,2004-2006
323-05-####,1936-1950
323-06-####,2006-2008
323-07-####,1936-1950
323-08-####,2008-2010
323-09-####,1936-1950
323-10-####,1936-1950
323-11-####,2010-2011
323-12-####,1936-1950
323-14-####,1936-1950
323-16-####,1936-1950
323-18-####,1936-1950
323-20-####,1936-1950
323-22-####,1936-1950
323-24-####,1936-1950
323-26-####,1936-1950
323-28-####,1951-unknown
323-30-####,1952-1954
323-32-####,1955-unknown
323-34-####,1956-1958
323-36-####,1959-1961
323-38-####,1962-unknown
323-40-####,1963-unknown
323-42-####,1964-unknown
323-44-####,1965-1966
323-46-####,1967-unknown
323-48-####,1968-unknown
323-50-####,1969-unknown
323-52-####,1970-unknown
323-54-####,1971-1972
323-56-####,1973-unknown
323-58-####,1973-unknown
323-60-####,1974-unknown
323-62-####,1975-unknown
323-64-####,1976-1977
323-66-####,1978-unknown
323-68-####,1979-1980
323-70-####,1981-unknown
323-72-####,1982-1983
323-74-####,1984-unknown
323-76-####,1985-1986
323-78-####,1987-unknown
323-80-####,1988-unknown
323-82-####,1988-unknown
323-84-####,1989-1992
323-86-####,1989-1992
323-88-####,1989-1992
323-90-####,1994-unknown
323-92-####,1995-unknown
323-94-####,1997-1998
323-96-####,1999-unknown
323-98-####,2000-2001
324-01-####,1936-1950
324-02-####,2002-2004
324-03-####,1936-1950
324-04-####,2004-2006
324-05-####,1936-1950
324-06-####,2006-2008
324-07-####,1936-1950
324-08-####,2008-2010
324-09-####,1936-1950
324-10-####,1936-1950
324-11-####,2010-2011
324-12-####,1936-1950
324-14-####,1936-1950
324-16-####,1936-1950
324-18-####,1936-1950
324-20-####,1936-1950
324-22-####,1936-1950
324-24-####,1936-1950
324-26-####,1936-1950
324-28-####,1951-unknown
324-30-####,1952-1954
324-32-####,1955-unknown
324-34-####,1956-1958
324-36-####,1959-1961
324-38-####,1962-unknown
324-40-####,1963-unknown
324-42-####,1964-unknown
324-44-####,1965-1966
324-46-####,1967-unknown
324-48-####,1968-unknown
324-50-####,1969-unknown
324-52-####,1970-1971
324-54-####,1972-unknown
324-56-####,1973-unknown
324-58-####,1973-unknown
324-60-####,1974-unknown
324-62-####,1975-unknown
324-64-####,1976-1977
324-66-####,1978-unknown
324-68-####,1979-1980
324-70-####,1981-unknown
324-72-####,1982-1983
324-74-####,1984-unknown
324-76-####,1985-1986
324-78-####,1987-unknown
324-80-####,1988-unknown
324-82-####,1989-1992
324-84-####,1989-1992
324-86-####,1989-1992
324-88-####,1989-1992
324-90-####,1994-unknown
324-92-####,1995-unknown
324-94-####,1997-1998
324-96-####,1999-unknown
324-98-####,2000-2001
325-01-####,1936-1950
325-02-####,2002-2004
325-03-####,1936-1950
325-04-####,2004-2006
325-05-####,1936-1950
325-06-####,2006-2008
325-07-####,1936-1950
325-08-####,2008-2010
325-09-####,1936-1950
325-10-####,1936-1950
325-11-####,2010-2011
325-12-####,1936-1950
325-14-####,1936-1950
325-16-####,1936-1950
325-18-####,1936-1950
325-20-####,1936-1950
325-22-####,1936-1950
325-24-####,1936-1950
325-26-####,1936-1950
325-28-####,1951-unknown
325-30-####,1952-1954
325-32-####,1955-unknown
325-34-####,1956-1958
325-36-####,1959-1961
325-38-####,1962-unknown
325-40-####,1963-unknown
325-42-####,1964-unknown
325-44-####,1965-1966
325-46-####,1967-unknown
325-48-####,1968-unknown
325-50-####,1969-unknown
325-52-####,1970-1971
325-54-####,1972-unknown
325-56-####,1973-unknown
325-58-####,1973-unknown
325-60-####,1974-unknown
325-62-####,1975-unknown
325-64-####,1976-1977
325-66-####,1978-unknown
325-68-####,1978-1979
325-70-####,1980-unknown
