SSN Prefix,Years Issued
542-74-####,1971-1972
542-75-####,2008-unknown
542-76-####,1973-1977
542-77-####,2008-2009
542-78-####,1973-1977
542-79-####,2009-2010
542-80-####,1973-1977
542-81-####,2010-2011
542-82-####,1974-1977
542-84-####,1974-1977
542-86-####,1975-1977
542-88-####,1976-1977
542-90-####,1976-1977
542-92-####,1977-unknown
542-94-####,1978-unknown
542-96-####,1979-unknown
542-98-####,1980-unknown
543-01-####,1936-1950
543-02-####,1981-unknown
543-03-####,1936-1950
543-04-####,1982-unknown
543-05-####,1936-1950
543-06-####,1983-unknown
543-07-####,1936-1950
543-08-####,1984-unknown
543-09-####,1936-1950
543-10-####,1936-1950
543-11-####,1984-unknown
543-12-####,1936-1950
543-13-####,1985-unknown
543-14-####,1936-1950
543-15-####,1986-unknown
543-16-####,1936-1950
543-17-####,1987-unknown
543-18-####,1936-1950
543-19-####,1987-unknown
543-20-####,1936-1950
543-21-####,1987-unknown
543-22-####,1936-1950
543-23-####,1988-unknown
543-24-####,1936-1950
543-25-####,1988-unknown
543-26-####,1936-1950
543-27-####,1989-1992
543-28-####,1936-1950
543-29-####,1989-1992
543-30-####,1936-1950
543-31-####,1989-1992
543-32-####,1936-1950
543-33-####,1989-1992
543-34-####,1936-1950
543-35-####,1989-1992
543-36-####,1951-1952
543-37-####,1989-1992
543-38-####,1953-1954
543-39-####,1989-1992
543-40-####,1955-unknown
543-41-####,1993-unknown
543-42-####,1955-unknown
543-43-####,1994-unknown
543-44-####,1956-1957
543-45-####,1995-unknown
543-46-####,1958-1959
543-47-####,1995-unknown
543-48-####,1960-unknown
543-49-####,1996-unknown
543-50-####,1961-unknown
543-51-####,1997-1998
543-52-####,1962-unknown
543-53-####,1998-unknown
543-54-####,1963-unknown
543-55-####,1999-unknown
543-56-####,1964-unknown
543-57-####,2000-unknown
543-58-####,1965-unknown
543-59-####,2001-unknown
543-60-####,1966-unknown
543-61-####,2002-unknown
543-62-####,1967-unknown
543-63-####,2003-unknown
543-64-####,1967-1968
543-65-####,2003-2004
543-66-####,1969-unknown
543-67-####,2004-2005
543-68-####,1969-unknown
543-69-####,2005-2006
543-70-####,1970-unknown
543-71-####,2006-2007
543-72-####,1970-unknown
543-73-####,2007-2008
543-74-####,1971-1972
543-75-####,2008-2009
543-76-####,1973-1977
543-77-####,2009-unknown
543-78-####,1973-1977
543-79-####,2009-2010
543-80-####,1973-1977
543-81-####,2010-2011
543-82-####,1974-1977
543-84-####,1974-1977
543-86-####,1975-1977
543-88-####,1976-1977
543-90-####,1976-1977
543-92-####,1977-unknown
543-94-####,1978-unknown
543-96-####,1979-unknown
543-98-####,1980-unknown
544-01-####,1936-1950
544-02-####,1981-unknown
544-03-####,1936-1950
544-04-####,1982-unknown
544-05-####,1936-1950
544-06-####,1983-unknown
544-07-####,1936-1950
544-08-####,1984-unknown
544-09-####,1936-1950
544-10-####,1936-1950
544-11-####,1984-unknown
544-12-####,1936-1950
544-13-####,1985-unknown
544-14-####,1936-1950
544-15-####,1986-unknown
544-16-####,1936-1950
544-17-####,1987-unknown
544-18-####,1936-1950
544-19-####,1987-unknown
544-20-####,1936-1950
544-21-####,1987-unknown
544-22-####,1936-1950
544-23-####,1988-unknown
544-24-####,1936-1950
544-25-####,1988-unknown
544-26-####,1936-1950
544-27-####,1989-1992
544-28-####,1936-1950
544-29-####,1989-1992
544-30-####,1936-1950
544-31-####,1989-1992
544-32-####,1936-1950
544-33-####,1989-1992
544-34-####,1936-1950
544-35-####,1989-1992
544-36-####,1951-1952
544-37-####,1989-1992
544-38-####,1953-unknown
