SSN Prefix,Years Issued
214-64-####,1969-unknown
214-65-####,2002-unknown
214-66-####,1970-unknown
214-67-####,2003-2004
214-68-####,1971-unknown
214-69-####,2004-unknown
214-70-####,1971-unknown
214-71-####,2004-2005
214-72-####,1972-unknown
214-73-####,2005-2006
214-74-####,1973-unknown
214-75-####,2006-unknown
214-76-####,1973-unknown
214-77-####,2006-2007
214-78-####,1974-unknown
214-79-####,2007-2008
214-80-####,1974-unknown
214-81-####,2008-unknown
214-82-####,1975-unknown
214-83-####,2008-2009
214-84-####,1976-unknown
214-85-####,2009-2010
214-86-####,1976-unknown
214-87-####,2010-unknown
214-88-####,1977-unknown
214-89-####,2010-2011
214-90-####,1977-1978
214-91-####,2011-unknown
214-92-####,1979-unknown
214-94-####,1980-unknown
214-96-####,1981-unknown
214-98-####,1982-unknown
215-01-####,1936-1950
215-02-####,1983-unknown
215-03-####,1936-1950
215-04-####,1983-unknown
215-05-####,1936-1950
215-06-####,1984-unknown
215-07-####,1936-1950
215-08-####,1985-unknown
215-09-####,1936-1950
215-10-####,1936-1950
215-11-####,1986-unknown
215-12-####,1936-1950
215-13-####,1987-unknown
215-14-####,1936-1950
215-15-####,1987-unknown
215-16-####,1936-1950
215-17-####,1987-unknown
215-18-####,1936-1950
215-19-####,1988-unknown
215-20-####,1936-1950
215-21-####,1988-unknown
215-22-####,1936-1950
215-23-####,1989-1992
215-24-####,1936-1950
215-25-####,1989-1992
215-26-####,1936-1950
215-27-####,1989-1992
215-28-####,1936-1950
215-29-####,1989-1992
215-30-####,1936-1950
215-31-####,1989-1992
215-32-####,1951-1952
215-33-####,1989-1992
215-34-####,1953-1954
215-35-####,1989-1992
215-36-####,1955-unknown
215-37-####,1989-1992
215-38-####,1956-1957
215-39-####,1993-unknown
215-40-####,1958-unknown
215-41-####,1994-unknown
215-42-####,1959-1960
215-43-####,1995-unknown
215-44-####,1961-unknown
215-45-####,1995-unknown
215-46-####,1962-unknown
215-47-####,1996-unknown
215-48-####,1963-unknown
215-49-####,1997-unknown
215-50-####,1963-1964
215-51-####,1997-1998
215-52-####,1965-unknown
215-53-####,1998-unknown
215-54-####,1965-unknown
215-55-####,1999-unknown
215-56-####,1966-unknown
215-57-####,2000-unknown
215-58-####,1967-unknown
215-59-####,2000-2001
215-60-####,1968-unknown
215-61-####,2001-unknown
215-62-####,1969-unknown
215-63-####,2002-unknown
215-64-####,1969-unknown
215-65-####,2002-unknown
215-66-####,1970-unknown
215-67-####,2003-2004
215-68-####,1971-unknown
215-69-####,2004-unknown
215-70-####,1971-unknown
215-71-####,2004-2005
215-72-####,1972-unknown
215-73-####,2005-2006
215-74-####,1973-unknown
215-75-####,2006-unknown
215-76-####,1973-unknown
215-77-####,2006-2007
215-78-####,1974-unknown
215-79-####,2007-2008
215-80-####,1974-unknown
215-81-####,2008-unknown
215-82-####,1975-unknown
215-83-####,2008-2009
215-84-####,1976-unknown
215-85-####,2009-2010
215-86-####,1976-unknown
215-87-####,2010-unknown
215-88-####,1977-unknown
215-89-####,2010-2011
215-90-####,1978-unknown
215-91-####,2011-unknown
215-92-####,1979-unknown
215-94-####,1980-unknown
215-96-####,1981-unknown
215-98-####,1982-unknown
216-01-####,1936-1950
216-02-####,1983-unknown
216-03-####,1936-1950
216-04-####,1984-unknown
216-05-####,1936-1950
216-06-####,1984-unknown
216-07-####,1936-1950
216-08-####,1985-unknown
216-09-####,1936-1950
216-10-####,1936-1950
216-11-####,1986-unknown
216-12-####,1936-1950
216-13-####,1987-unknown
216-14-####,1936-1950
216-15-####,1987-unknown
216-16-####,1936-1950
216-17-####,1987-unknown
216-18-####,1936-1950
216-19-####,1988-unknown
216-20-####,1936-1950
216-21-####,1988-unknown
216-22-####,1936-1950
216-23-####,1989-1992
216-24-####,1936-1950
216-25-####,1989-1992
216-26-####,1936-1950
216-27-####,1989-1992
216-28-####,1936-1950
216-29-####,1989-1992
216-30-####,1936-1950
216-31-####,1989-1992
216-32-####,1951-1952
216-33-####,1989-1992
216-34-####,1953-unknown
216-35-####,1989-1992
216-36-####,1954-1956
216-37-####,1993-unknown
216-38-####,1957-unknown
216-39-####,1993-unknown
216-40-####,1958-1959
216-41-####,1994-unknown
216-42-####,1960-unknown
216-43-####,1995-unknown
216-44-####,1961-unknown
216-45-####,1995-unknown
216-46-####,1962-unknown
216-47-####,1996-unknown
216-48-####,1963-unknown
216-49-####,1997-unknown
216-50-####,1964-unknown
216-51-####,1998-unknown
216-52-####,1965-unknown
216-53-####,1998-unknown
216-54-####,1965-unknown
216-55-####,1999-unknown
216-56-####,1966-unknown
216-57-####,2000-unknown
216-58-####,1967-unknown
216-59-####,2000-2001
216-60-####,1968-unknown
216-61-####,2001-unknown
216-62-####,1969-unknown
216-63-####,2002-unknown
216-64-####,1969-unknown
216-65-####,2003-unknown
216-66-####,1970-unknown
216-67-####,2003-2004
216-68-####,1971-unknown
216-69-####,2004-unknown
216-70-####,1971-unknown
216-71-####,2004-2005
216-72-####,1972-unknown
216-73-####,2005-2006
216-74-####,1973-unknown
216-75-####,2006-unknown
216-76-####,1973-unknown
216-77-####,2006-2007
216-78-####,1974-unknown
216-79-####,2007-2008
216-80-####,1975-unknown
216-81-####,2008-unknown
216-82-####,1975-unknown
216-83-####,2008-2009
216-84-####,1976-unknown
216-85-####,2009-2010
216-86-####,1976-unknown
216-87-####,2010-unknown
216-88-####,1977-unknown
216-89-####,2010-2011
216-90-####,1978-unknown
216-92-####,1979-unknown
216-94-####,1980-unknown
216-96-####,1981-unknown
216-98-####,1982-unknown
217-01-####,1936-1950
217-02-####,1983-unknown
217-03-####,1936-1950
217-04-####,1984-unknown
217-05-####,1936-1950
217-06-####,1984-unknown
217-07-####,1936-1950
217-08-####,1985-unknown
217-09-####,1936-1950
217-10-####,1936-1950
217-11-####,1986-unknown
217-12-####,1936-1950
217-13-####,1987-unknown
217-14-####,1936-1950
217-15-####,1987-unknown
217-16-####,1936-1950
217-17-####,1988-unknown
217-18-####,1936-1950
217-19-####,1988-unknown
217-20-####,1936-1950
217-21-####,1988-unknown
217-22-####,1936-1950
217-23-####,1989-1992
217-24-####,1936-1950
217-25-####,1989-1992
217-26-####,1936-1950
217-27-####,1989-1992
217-28-####,1936-1950
217-29-####,1989-1992
217-30-####,1936-1950
217-31-####,1989-1992
217-32-####,1951-1952
217-33-####,1989-1992
217-34-####,1953-1954
217-35-####,1989-1992
217-36-####,1955-1956
217-37-####,1993-unknown
217-38-####,1957-1958
217-39-####,1993-unknown
217-40-####,1959-unknown
217-41-####,1994-unknown
217-42-####,1960-1961
217-43-####,1995-unknown
217-44-####,1962-unknown
217-45-####,1995-unknown
217-46-####,1963-unknown
217-47-####,1996-unknown
217-48-####,1963-unknown
217-49-####,1997-unknown
217-50-####,1964-unknown
217-51-####,1998-unknown
217-52-####,1965-unknown
217-53-####,1998-unknown
217-54-####,1966-unknown
217-55-####,1999-unknown
217-56-####,1966-unknown
217-57-####,2000-unknown
217-58-####,1967-unknown
217-59-####,2001-unknown
217-60-####,1968-unknown
217-61-####,2001-unknown
217-62-####,1968-unknown
217-63-####,2002-unknown
217-64-####,1969-unknown
217-65-####,2003-unknown
217-66-####,1970-unknown
217-67-####,2003-2004
217-68-####,1971-unknown
217-69-####,2004-2005
217-70-####,1971-unknown
217-71-####,2005-unknown
217-72-####,1972-unknown
217-73-####,2005-2006
217-74-####,1973-unknown
217-75-####,2006-2007
217-76-####,1973-unknown
217-77-####,2007-unknown
217-78-####,1974-unknown
217-79-####,2007-2008
217-80-####,1975-unknown
217-81-####,2008-unknown
217-82-####,1975-unknown
217-83-####,2008-2009
217-84-####,1976-unknown
217-85-####,2009-2010
217-86-####,1976-unknown
217-87-####,2010-unknown
217-88-####,1977-unknown
217-89-####,2010-2011
217-90-####,1978-unknown
217-92-####,1979-unknown
217-94-####,1980-unknown
217-96-####,1981-unknown
217-98-####,1982-unknown
218-01-####,1936-1950
218-02-####,1983-unknown
218-03-####,1936-1950
218-04-####,1984-unknown
218-05-####,1936-1950
218-06-####,1984-unknown
218-07-####,1936-1950
218-08-####,1985-unknown
218-09-####,1936-1950
218-10-####,1936-1950
218-11-####,1986-unknown
218-12-####,1936-1950
218-13-####,1987-unknown
218-14-####,1936-1950
218-15-####,1987-unknown
218-16-####,1936-1950
218-17-####,1988-unknown
218-18-####,1936-1950
218-19-####,1988-unknown
218-20-####,1936-1950
218-21-####,1988-unknown
218-22-####,1936-1950
218-23-####,1989-1992
218-24-####,1936-1950
218-25-####,1989-1992
218-26-####,1936-1950
218-27-####,1989-1992
