SSN Prefix,Years Issued
044-46-####,1967-unknown
044-48-####,1968-unknown
044-50-####,1969-unknown
044-52-####,1970-unknown
044-54-####,1971-1972
044-56-####,1973-1977
044-58-####,1973-1977
044-60-####,1973-1977
044-62-####,1974-1977
044-64-####,1975-1977
044-66-####,1976-1977
044-68-####,1978-1979
044-70-####,1980-unknown
044-72-####,1981-1982
044-74-####,1983-unknown
044-76-####,1984-unknown
044-78-####,1985-1986
044-80-####,1987-unknown
044-82-####,1988-unknown
044-84-####,1988-1992
044-86-####,1988-1992
044-88-####,1992-unknown
044-90-####,1992-1995
044-92-####,1992-1995
044-94-####,1995-unknown
044-96-####,1997-1998
044-98-####,1998-unknown
045-01-####,1936-1950
045-02-####,2000-unknown
045-03-####,1936-1950
045-04-####,2002-unknown
045-05-####,1936-1950
045-06-####,2003-2005
045-07-####,1936-1950
045-08-####,2005-2007
045-09-####,1936-1950
045-10-####,1936-1950
045-11-####,2007-2008
045-12-####,1936-1950
045-13-####,2008-2010
045-14-####,1936-1950
045-15-####,2010-2011
045-16-####,1936-1950
045-18-####,1936-1950
045-20-####,1936-1950
045-22-####,1936-1950
045-24-####,1936-1950
045-26-####,1951-unknown
045-28-####,1952-1953
045-30-####,1954-1956
045-32-####,1957-1958
045-34-####,1959-1960
045-36-####,1961-1962
045-38-####,1963-unknown
045-40-####,1963-unknown
045-42-####,1964-unknown
045-44-####,1965-1966
045-46-####,1967-unknown
045-48-####,1968-unknown
045-50-####,1969-unknown
045-52-####,1970-1971
045-54-####,1972-1977
045-56-####,1973-1977
045-58-####,1973-1977
045-60-####,1973-1977
045-62-####,1974-1977
045-64-####,1975-1977
045-66-####,1976-1977
045-68-####,1978-1979
045-70-####,1980-unknown
045-72-####,1981-1982
045-74-####,1983-unknown
045-76-####,1984-1985
045-78-####,1986-unknown
045-80-####,1987-unknown
045-82-####,1988-unknown
045-84-####,1988-1992
045-86-####,1988-1992
045-88-####,1992-unknown
045-90-####,1992-1995
045-92-####,1992-1995
045-94-####,1995-unknown
045-96-####,1997-1998
045-98-####,1998-unknown
046-01-####,1936-1950
046-02-####,2000-2001
046-03-####,1936-1950
046-04-####,2002-2003
046-05-####,1936-1950
046-06-####,2003-2005
046-07-####,1936-1950
046-08-####,2005-2007
046-09-####,1936-1950
046-10-####,1936-1950
046-11-####,2007-2009
046-12-####,1936-1950
046-13-####,2009-2010
046-14-####,1936-1950
046-15-####,2010-2011
046-16-####,1936-1950
046-18-####,1936-1950
046-20-####,1936-1950
046-22-####,1936-1950
046-24-####,1936-1950
046-26-####,1951-unknown
046-28-####,1952-1953
046-30-####,1954-1956
046-32-####,1957-1959
046-34-####,1960-1961
046-36-####,1962-unknown
046-38-####,1963-unknown
046-40-####,1963-1964
046-42-####,1965-unknown
046-44-####,1966-unknown
046-46-####,1967-unknown
046-48-####,1968-unknown
046-50-####,1969-unknown
046-52-####,1970-1971
046-54-####,1972-unknown
046-56-####,1973-1977
046-58-####,1973-1977
046-60-####,1974-1977
046-62-####,1975-1977
046-64-####,1975-1977
046-66-####,1976-1977
046-68-####,1978-1979
046-70-####,1980-unknown
046-72-####,1981-1982
046-74-####,1983-unknown
046-76-####,1984-1985
046-78-####,1986-unknown
046-80-####,1987-unknown
046-82-####,1988-unknown
046-84-####,1988-1992
046-86-####,1988-1992
046-88-####,1992-unknown
046-90-####,1992-1995
046-92-####,1992-1995
046-94-####,1995-unknown
046-96-####,1997-1998
046-98-####,1999-unknown
047-01-####,1936-1950
047-02-####,2000-2001
047-03-####,1936-1950
047-04-####,2002-2004
047-05-####,1936-1950
047-06-####,2004-2005
047-07-####,1936-1950
047-08-####,2005-2007
047-09-####,1936-1950
047-10-####,1936-1950
047-11-####,2007-2009
047-12-####,1936-1950
047-13-####,2009-2011
047-14-####,1936-1950
047-15-####,2011-unknown
047-16-####,1936-1950
047-18-####,1936-1950
047-20-####,1936-1950
047-22-####,1936-1950
047-24-####,1936-1950
047-26-####,1951-1952
047-28-####,1953-unknown
047-30-####,1954-1957
047-32-####,1958-1959
047-34-####,1960-1961
047-36-####,1962-unknown
047-38-####,1963-unknown
047-40-####,1964-unknown
047-42-####,1965-unknown
047-44-####,1966-unknown
047-46-####,1967-unknown
047-48-####,1968-1969
047-50-####,1970-unknown
047-52-####,1971-unknown
047-54-####,1972-unknown
047-56-####,1973-1977
047-58-####,1973-1977
047-60-####,1974-1977
047-62-####,1975-1977
047-64-####,1975-1977
047-66-####,1976-1978
047-68-####,1979-unknown
047-70-####,1980-unknown
047-72-####,1981-1982
047-74-####,1983-unknown
047-76-####,1984-1985
047-78-####,1986-unknown
047-80-####,1987-unknown
047-82-####,1988-unknown
047-84-####,1988-1992
047-86-####,1988-1992
047-88-####,1992-unknown
047-90-####,1992-1995
047-92-####,1995-unknown
047-94-####,1995-unknown
047-96-####,1997-1998
047-98-####,1999-unknown
048-01-####,1936-1950
048-02-####,2001-unknown
048-03-####,1936-1950
048-04-####,2002-2004
048-05-####,1936-1950
048-06-####,2004-2005
048-07-####,1936-1950
048-08-####,2005-2007
048-09-####,1936-1950
048-10-####,1936-1950
048-11-####,2007-2009
048-12-####,1936-1950
048-13-####,2009-2011
048-14-####,1936-1950
048-15-####,2011-unknown
048-16-####,1936-1950
048-18-####,1936-1950
048-20-####,1936-1950
048-22-####,1936-1950
048-24-####,1936-1950
048-26-####,1951-1952
048-28-####,1953-unknown
048-30-####,1954-1957
048-32-####,1958-1959
048-34-####,1960-1961
048-36-####,1962-unknown
048-38-####,1963-unknown
048-40-####,1964-unknown
048-42-####,1965-unknown
048-44-####,1966-unknown
048-46-####,1967-unknown
048-48-####,1968-unknown
048-50-####,1969-1970
048-52-####,1971-unknown
048-54-####,1972-unknown
048-56-####,1973-1977
048-58-####,1973-1977
048-60-####,1974-1977
048-62-####,1975-1977
048-64-####,1976-1977
048-66-####,1976-1978
048-68-####,1979-unknown
048-70-####,1980-1981
048-72-####,1982-unknown
048-74-####,1983-unknown
048-76-####,1984-1985
048-78-####,1986-unknown
048-80-####,1987-unknown
048-82-####,1988-unknown
048-84-####,1988-1992
048-86-####,1988-1992
048-88-####,1992-unknown
048-90-####,1992-1995
048-92-####,1995-unknown
048-94-####,1995-unknown
048-96-####,1997-1998
048-98-####,1999-unknown
049-01-####,1936-1950
049-02-####,2001-unknown
049-03-####,1936-1950
049-04-####,2002-2004
049-05-####,1936-1950
049-06-####,2004-2006
049-07-####,1936-1950
049-08-####,2006-2007
049-09-####,1936-1950
049-10-####,1936-1950
049-11-####,2007-2009
049-12-####,1936-1950
049-13-####,2009-2011
049-14-####,1936-1950
049-15-####,2011-unknown
049-16-####,1936-1950
049-18-####,1936-1950
049-20-####,1936-1950
049-22-####,1936-1950
049-24-####,1936-1950
049-26-####,1951-1952
049-28-####,1953-1955
049-30-####,1956-1957
049-32-####,1958-1959
049-34-####,1960-1961
049-36-####,1962-unknown
049-38-####,1963-unknown
049-40-####,1964-unknown
049-42-####,1965-unknown
049-44-####,1966-unknown
049-46-####,1967-1968
049-48-####,1969-unknown
049-50-####,1970-unknown
049-52-####,1971-unknown
049-54-####,1972-unknown
049-56-####,1973-1977
049-58-####,1973-1977
049-60-####,1974-1977
049-62-####,1975-1977
049-64-####,1976-1977
049-66-####,1976-1978
049-68-####,1979-unknown
049-70-####,1980-1981
049-72-####,1982-unknown
049-74-####,1983-1984
049-76-####,1985-unknown
049-78-####,1986-unknown
049-80-####,1987-unknown
049-82-####,1988-unknown
049-84-####,1988-1992
049-86-####,1988-1992
049-88-####,1992-unknown
049-90-####,1992-1995
049-92-####,1995-unknown
049-94-####,1995-unknown
049-96-####,1997-1998
049-98-####,1999-unknown
