SSN Prefix,Years Issued
512-82-####,1980-1981
512-84-####,1982-unknown
512-86-####,1983-unknown
512-88-####,1984-1985
512-90-####,1986-unknown
512-92-####,1987-unknown
512-94-####,1987-unknown
512-96-####,1988-unknown
512-98-####,1989-1992
513-01-####,1936-1950
513-02-####,1989-1992
513-03-####,1936-1950
513-04-####,1989-1992
513-05-####,1936-1950
513-06-####,1989-1992
513-07-####,1936-1950
513-08-####,1993-unknown
513-09-####,1936-1950
513-10-####,1936-1950
513-11-####,1995-unknown
513-12-####,1936-1950
513-13-####,1996-1998
513-14-####,1936-1950
513-15-####,1998-unknown
513-16-####,1936-1950
513-17-####,1999-unknown
513-18-####,1936-1950
513-19-####,2001-unknown
513-20-####,1936-1950
513-21-####,2002-2004
513-22-####,1936-1950
513-23-####,2004-2005
513-24-####,1936-1950
513-25-####,2005-2007
513-26-####,1936-1950
513-27-####,2007-2008
513-28-####,1936-1950
513-29-####,2008-2010
513-30-####,1951-unknown
513-31-####,2010-2011
513-32-####,1952-unknown
513-34-####,1953-1954
513-36-####,1955-unknown
513-38-####,1955-unknown
513-40-####,1956-1957
513-42-####,1958-1959
513-44-####,1960-1961
513-46-####,1962-unknown
513-48-####,1963-unknown
513-50-####,1964-unknown
513-52-####,1965-unknown
513-54-####,1966-unknown
513-56-####,1967-unknown
513-58-####,1968-unknown
513-60-####,1969-unknown
513-62-####,1970-unknown
513-64-####,1971-1972
513-66-####,1973-unknown
513-68-####,1973-unknown
513-70-####,1973-unknown
513-72-####,1974-unknown
513-74-####,1975-unknown
513-76-####,1976-unknown
513-78-####,1977-1978
513-80-####,1979-1980
513-82-####,1981-unknown
513-84-####,1982-unknown
513-86-####,1983-1984
513-88-####,1985-unknown
513-90-####,1986-unknown
513-92-####,1987-unknown
513-94-####,1987-unknown
513-96-####,1988-unknown
513-98-####,1989-1992
514-01-####,1936-1950
514-02-####,1989-1992
514-03-####,1936-1950
514-04-####,1989-1992
514-05-####,1936-1950
514-06-####,1989-1992
514-07-####,1936-1950
514-08-####,1993-unknown
514-09-####,1936-1950
514-10-####,1936-1950
514-11-####,1995-unknown
514-12-####,1936-1950
514-13-####,1996-1998
514-14-####,1936-1950
514-15-####,1998-unknown
514-16-####,1936-1950
514-17-####,1999-2000
514-18-####,1936-1950
514-19-####,2001-unknown
514-20-####,1936-1950
514-21-####,2003-2004
514-22-####,1936-1950
514-23-####,2004-2005
514-24-####,1936-1950
514-25-####,2005-2007
514-26-####,1936-1950
514-27-####,2007-2008
514-28-####,1936-1950
514-29-####,2008-2010
514-30-####,1936-1950
514-31-####,2010-2011
514-32-####,1951-1952
514-34-####,1953-1954
514-36-####,1955-unknown
514-38-####,1956-unknown
514-40-####,1956-1958
514-42-####,1959-1960
514-44-####,1961-unknown
514-46-####,1962-unknown
514-48-####,1963-unknown
514-50-####,1963-1964
514-52-####,1965-unknown
514-54-####,1966-unknown
514-56-####,1967-unknown
514-58-####,1968-unknown
514-60-####,1969-unknown
514-62-####,1970-unknown
514-64-####,1971-1972
514-66-####,1973-unknown
514-68-####,1973-unknown
514-70-####,1973-unknown
514-72-####,1974-unknown
514-74-####,1975-unknown
514-76-####,1976-1977
514-78-####,1978-unknown
514-80-####,1979-1980
514-82-####,1981-unknown
514-84-####,1982-1983
514-86-####,1984-unknown
514-88-####,1985-unknown
514-90-####,1986-unknown
514-92-####,1987-unknown
514-94-####,1987-unknown
514-96-####,1988-unknown
514-98-####,1989-1992
515-01-####,1936-1950
515-02-####,1989-1992
515-03-####,1936-1950
515-04-####,1989-1992
515-05-####,1936-1950
515-06-####,1989-1992
515-07-####,1936-1950
515-08-####,1993-unknown
515-09-####,1936-1950
515-10-####,1936-1950
515-11-####,1995-unknown
515-12-####,1936-1950
515-13-####,1997-1998
515-14-####,1936-1950
515-15-####,1998-unknown
515-16-####,1936-1950
515-17-####,2000-unknown
515-18-####,1936-1950
515-19-####,2001-2003
515-20-####,1936-1950
515-21-####,2003-2004
515-22-####,1936-1950
515-23-####,2004-2006
515-24-####,1936-1950
515-25-####,2006-2007
515-26-####,1936-1950
515-27-####,2007-2009
515-28-####,1936-1950
515-29-####,2009-2010
515-30-####,1936-1950
515-31-####,2010-2011
