SSN Prefix,Years Issued
419-05-####,1936-1950
419-06-####,1979-unknown
419-07-####,1936-1950
419-08-####,1980-unknown
419-09-####,1936-1950
419-10-####,1936-1950
419-11-####,1981-unknown
419-12-####,1936-1950
419-13-####,1982-unknown
419-14-####,1936-1950
419-15-####,1983-unknown
419-16-####,1936-1950
419-17-####,1983-unknown
419-18-####,1936-1950
419-19-####,1984-unknown
419-20-####,1936-1950
419-21-####,1985-unknown
419-22-####,1936-1950
419-23-####,1986-unknown
419-24-####,1936-1950
419-25-####,1987-unknown
419-26-####,1936-1950
419-27-####,1987-unknown
419-28-####,1936-1950
419-29-####,1988-unknown
419-30-####,1936-1950
419-31-####,1988-unknown
419-32-####,1936-1950
419-33-####,1989-1992
419-34-####,1936-1950
419-35-####,1989-1992
419-36-####,1936-1950
419-37-####,1989-1992
419-38-####,1936-1950
419-39-####,1989-1992
419-40-####,1936-1950
419-41-####,1993-unknown
419-42-####,1936-1950
419-43-####,1994-unknown
419-44-####,1951-1952
419-45-####,1996-unknown
419-46-####,1953-unknown
419-47-####,1997-1998
419-48-####,1954-unknown
419-49-####,1998-unknown
419-50-####,1955-unknown
419-51-####,2000-unknown
419-52-####,1956-1957
419-53-####,2001-unknown
419-54-####,1958-unknown
419-55-####,2003-2004
419-56-####,1959-unknown
419-57-####,2004-2005
419-58-####,1960-1961
419-59-####,2005-2006
419-60-####,1962-unknown
419-61-####,2006-2008
419-62-####,1963-unknown
419-63-####,2008-2009
419-64-####,1963-unknown
419-65-####,2009-2010
419-66-####,1964-unknown
419-67-####,2010-2011
419-68-####,1965-unknown
419-70-####,1965-unknown
419-72-####,1966-unknown
419-74-####,1967-1968
419-76-####,1969-unknown
419-78-####,1969-unknown
419-80-####,1970-unknown
419-82-####,1971-unknown
419-84-####,1972-unknown
419-86-####,1973-unknown
419-88-####,1973-unknown
419-90-####,1973-unknown
419-92-####,1974-unknown
419-94-####,1974-unknown
419-96-####,1975-unknown
419-98-####,1976-unknown
420-01-####,1936-1950
420-02-####,1977-unknown
420-03-####,1936-1950
420-04-####,1978-unknown
420-05-####,1936-1950
420-06-####,1979-unknown
420-07-####,1936-1950
420-08-####,1980-unknown
420-09-####,1936-1950
420-10-####,1936-1950
420-11-####,1981-unknown
420-12-####,1936-1950
420-13-####,1982-unknown
420-14-####,1936-1950
420-15-####,1983-unknown
420-16-####,1936-1950
420-17-####,1983-unknown
420-18-####,1936-1950
420-19-####,1984-unknown
420-20-####,1936-1950
420-21-####,1985-unknown
420-22-####,1936-1950
420-23-####,1986-unknown
420-24-####,1936-1950
420-25-####,1987-unknown
420-26-####,1936-1950
420-27-####,1987-unknown
420-28-####,1936-1950
420-29-####,1988-unknown
420-30-####,1936-1950
420-31-####,1989-1992
420-32-####,1936-1950
420-33-####,1989-1992
420-34-####,1936-1950
420-35-####,1989-1992
420-36-####,1936-1950
420-37-####,1989-1992
420-38-####,1936-1950
420-39-####,1989-1992
420-40-####,1936-1950
420-41-####,1993-unknown
420-42-####,1936-1950
420-43-####,1995-unknown
420-44-####,1951-1952
420-45-####,1996-unknown
420-46-####,1953-unknown
420-47-####,1997-1998
420-48-####,1954-unknown
420-49-####,1999-unknown
420-50-####,1955-unknown
420-51-####,2000-unknown
420-52-####,1956-1957
420-53-####,2001-2003
420-54-####,1958-unknown
420-55-####,2003-2004
420-56-####,1959-unknown
420-57-####,2004-2005
420-58-####,1960-1961
420-59-####,2005-2007
420-60-####,1962-unknown
420-61-####,2007-2008
420-62-####,1963-unknown
420-63-####,2008-2009
420-64-####,1963-unknown
420-65-####,2009-2010
420-66-####,1964-unknown
420-67-####,2010-2011
420-68-####,1965-unknown
420-70-####,1966-unknown
420-72-####,1967-unknown
420-74-####,1968-unknown
420-76-####,1968-1969
420-78-####,1970-unknown
420-80-####,1970-unknown
420-82-####,1971-unknown
420-84-####,1972-unknown
420-86-####,1973-unknown
420-88-####,1973-unknown
420-90-####,1973-unknown
420-92-####,1974-unknown
420-94-####,1975-unknown
420-96-####,1975-unknown
420-98-####,1976-unknown
421-01-####,1936-1950
421-02-####,1977-unknown
421-03-####,1936-1950
421-04-####,1978-unknown
421-05-####,1936-1950
421-06-####,1979-unknown
421-07-####,1936-1950
421-08-####,1980-unknown
421-09-####,1936-1950
421-10-####,1936-1950
421-11-####,1981-1982
421-12-####,1936-1950
421-13-####,1983-unknown
421-14-####,1936-1950
421-15-####,1983-unknown
421-16-####,1936-1950
421-17-####,1984-unknown
421-18-####,1936-1950
421-19-####,1984-unknown
421-20-####,1936-1950
421-21-####,1985-unknown
421-22-####,1936-1950
421-23-####,1986-unknown
421-24-####,1936-1950
421-25-####,1987-unknown
421-26-####,1936-1950
421-27-####,1987-unknown
421-28-####,1936-1950
421-29-####,1988-unknown
421-30-####,1936-1950
421-31-####,1989-1992
421-32-####,1936-1950
421-33-####,1989-1992
421-34-####,1936-1950
421-35-####,1989-1992
421-36-####,1936-1950
421-37-####,1989-1992
421-38-####,1936-1950
421-39-####,1989-1992
421-40-####,1936-1950
421-41-####,1993-unknown
421-42-####,1951-unknown
421-43-####,1995-unknown
421-44-####,1952-unknown
421-45-####,1996-unknown
421-46-####,1953-unknown
421-47-####,1997-1998
421-48-####,1954-unknown
421-49-####,1999-unknown
421-50-####,1955-1956
421-51-####,2000-unknown
421-52-####,1957-unknown
421-53-####,2001-2002
421-54-####,1958-unknown
421-55-####,2003-2004
421-56-####,1959-unknown
421-57-####,2004-2005
421-58-####,1960-1961
421-59-####,2005-2007
421-60-####,1962-unknown
421-61-####,2007-2008
421-62-####,1963-unknown
421-63-####,2008-2009
421-64-####,1963-1964
421-65-####,2009-2011
421-66-####,1965-unknown
421-67-####,2011-unknown
421-68-####,1965-unknown
421-70-####,1966-unknown
421-72-####,1967-unknown
421-74-####,1967-1968
421-76-####,1969-unknown
421-78-####,1970-unknown
421-80-####,1971-unknown
421-82-####,1972-unknown
421-84-####,1973-unknown
421-86-####,1973-unknown
421-88-####,1973-unknown
421-90-####,1973-unknown
421-92-####,1974-unknown
421-94-####,1975-unknown
421-96-####,1975-unknown
421-98-####,1976-unknown
422-01-####,1936-1950
422-02-####,1977-unknown
422-03-####,1936-1950
422-04-####,1978-unknown
422-05-####,1936-1950
422-06-####,1979-unknown
422-07-####,1936-1950
422-08-####,1980-unknown
422-09-####,1936-1950
422-10-####,1936-1950
422-11-####,1981-1982
422-12-####,1936-1950
422-13-####,1983-unknown
422-14-####,1936-1950
422-15-####,1983-unknown
422-16-####,1936-1950
422-17-####,1984-unknown
422-18-####,1936-1950
422-19-####,1984-unknown
422-20-####,1936-1950
422-21-####,1985-unknown
422-22-####,1936-1950
422-23-####,1986-unknown
422-24-####,1936-1950
422-25-####,1987-unknown
422-26-####,1936-1950
422-27-####,1987-unknown
422-28-####,1936-1950
422-29-####,1988-unknown
422-30-####,1936-1950
422-31-####,1989-1992
422-32-####,1936-1950
422-33-####,1989-1992
422-34-####,1936-1950
422-35-####,1989-1992
422-36-####,1936-1950
422-37-####,1989-1992
422-38-####,1936-1950
422-39-####,1989-1992
422-40-####,1936-1950
422-41-####,1994-unknown
422-42-####,1936-1950
422-43-####,1995-unknown
422-44-####,1951-1952
422-45-####,1996-unknown
422-46-####,1953-1954
422-47-####,1997-1998
422-48-####,1955-unknown
422-49-####,1999-unknown
422-50-####,1956-unknown
422-51-####,2000-unknown
422-52-####,1957-unknown
422-53-####,2001-2002
422-54-####,1958-unknown
422-55-####,2003-2004
422-56-####,1959-1960
422-57-####,2004-2006
422-58-####,1961-unknown
422-59-####,2006-2007
422-60-####,1962-unknown
422-61-####,2007-2008
422-62-####,1963-unknown
422-63-####,2008-2009
422-64-####,1964-unknown
422-65-####,2009-2011
422-66-####,1965-unknown
422-67-####,2011-unknown
422-68-####,1965-unknown
422-70-####,1966-unknown
422-72-####,1966-unknown
422-74-####,1967-1968
422-76-####,1969-unknown
422-78-####,1970-unknown
422-80-####,1971-unknown
422-82-####,1972-unknown
422-84-####,1973-unknown
422-86-####,1973-unknown
422-88-####,1973-unknown
422-90-####,1973-unknown
422-92-####,1974-unknown
422-94-####,1975-unknown
422-96-####,1975-unknown
422-98-####,1976-unknown
423-01-####,1936-1950
423-02-####,1977-unknown
423-03-####,1936-1950
423-04-####,1978-unknown
423-05-####,1936-1950
423-06-####,1979-unknown
423-07-####,1936-1950
423-08-####,1980-1981
423-09-####,1936-1950
423-10-####,1936-1950
423-11-####,1982-unknown
423-12-####,1936-1950
423-13-####,1983-unknown
423-14-####,1936-1950
423-15-####,1983-unknown
423-16-####,1936-1950
423-17-####,1984-unknown
423-18-####,1936-1950
423-19-####,1985-unknown
423-20-####,1936-1950
423-21-####,1986-unknown
423-22-####,1936-1950
423-23-####,1987-unknown
423-24-####,1936-1950
423-25-####,1987-unknown
423-26-####,1936-1950
423-27-####,1987-unknown
423-28-####,1936-1950
423-29-####,1988-unknown
423-30-####,1936-1950
423-31-####,1989-1992
423-32-####,1936-1950
423-33-####,1989-1992
423-34-####,1936-1950
423-35-####,1989-1992
423-36-####,1936-1950
423-37-####,1989-1992
423-38-####,1936-1950
423-39-####,1989-1992
423-40-####,1936-1950
423-41-####,1994-unknown
423-42-####,1951-unknown
423-43-####,1995-unknown
423-44-####,1952-unknown
423-45-####,1996-1998
423-46-####,1953-1954
423-47-####,1998-unknown
423-48-####,1955-unknown
423-49-####,1999-unknown
423-50-####,1956-unknown
423-51-####,2000-2001
423-52-####,1957-unknown
423-53-####,2002-unknown
423-54-####,1958-1959
423-55-####,2003-2004
423-56-####,1960-unknown
423-57-####,2004-2006
423-58-####,1961-unknown
423-59-####,2006-2007
423-60-####,1962-unknown
423-61-####,2007-2008
423-62-####,1963-unknown
423-63-####,2008-2009
423-64-####,1964-unknown
423-65-####,2009-2011
423-66-####,1965-unknown
423-67-####,2011-unknown
423-68-####,1965-unknown
423-70-####,1966-unknown
423-72-####,1967-unknown
423-74-####,1968-unknown
423-76-####,1969-unknown
423-78-####,1970-unknown
423-80-####,1971-unknown
423-82-####,1972-unknown
423-84-####,1972-unknown
423-86-####,1973-unknown
423-88-####,1973-unknown
423-90-####,1974-unknown
423-92-####,1974-unknown
423-94-####,1975-unknown
423-96-####,1976-unknown
423-98-####,1976-unknown
424-01-####,1936-1950
424-02-####,1977-unknown
424-03-####,1936-1950
424-04-####,1978-1979
424-05-####,1936-1950
424-06-####,1980-unknown
424-07-####,1936-1950
424-08-####,1980-1981
424-09-####,1936-1950
424-10-####,1936-1950
424-11-####,1982-unknown
424-12-####,1936-1950
424-13-####,1983-unknown
424-14-####,1936-1950
424-15-####,1983-unknown
424-16-####,1936-1950
424-17-####,1984-unknown
424-18-####,1936-1950
424-19-####,1985-unknown
424-20-####,1936-1950
424-21-####,1986-unknown
424-22-####,1936-1950
424-23-####,1987-unknown
424-24-####,1936-1950
424-25-####,1987-unknown
424-26-####,1936-1950
424-27-####,1987-unknown
424-28-####,1936-1950
424-29-####,1988-unknown
424-30-####,1936-1950
424-31-####,1989-1992
424-32-####,1936-1950
424-33-####,1989-1992
424-34-####,1936-1950
424-35-####,1989-1992
424-36-####,1936-1950
424-37-####,1989-1992
424-38-####,1936-1950
424-39-####,1993-unknown
424-40-####,1936-1950
424-41-####,1994-unknown
424-42-####,1951-unknown
424-43-####,1995-unknown
424-44-####,1952-1953
424-45-####,1996-1998
424-46-####,1954-unknown
424-47-####,1998-unknown
424-48-####,1955-unknown
424-49-####,1999-unknown
424-50-####,1956-unknown
424-51-####,2000-2001
424-52-####,1957-unknown
424-53-####,2002-unknown
424-54-####,1958-1959
424-55-####,2003-2004
424-56-####,1960-unknown
424-57-####,2004-2006
424-58-####,1961-unknown
424-59-####,2006-2007
424-60-####,1962-unknown
424-61-####,2007-2008
424-62-####,1963-unknown
424-63-####,2008-2010
424-64-####,1964-unknown
424-65-####,2010-2011
424-66-####,1965-unknown
424-68-####,1965-unknown
424-70-####,1966-unknown
424-72-####,1967-unknown
424-74-####,1968-unknown
424-76-####,1969-unknown
424-78-####,1970-unknown
424-80-####,1971-unknown
424-82-####,1972-unknown
424-84-####,1973-unknown
424-86-####,1973-unknown
424-88-####,1973-unknown
424-90-####,1974-unknown
424-92-####,1974-unknown
424-94-####,1975-unknown
424-96-####,1976-unknown
424-98-####,1976-unknown
