SSN Prefix,Years Issued
139-09-####,1936-1950
139-10-####,1936-1950
139-11-####,2002-unknown
139-12-####,1936-1950
139-13-####,2003-2004
139-14-####,1936-1950
139-15-####,2004-2006
139-16-####,1936-1950
139-17-####,2006-2007
139-18-####,1936-1950
139-19-####,2007-2008
139-20-####,1936-1950
139-21-####,2008-2010
139-22-####,1936-1950
139-23-####,2010-2011
139-24-####,1936-1950
139-26-####,1951-unknown
139-28-####,1952-1954
139-30-####,1955-1956
139-32-####,1957-1958
139-34-####,1959-1961
139-36-####,1962-unknown
139-38-####,1963-unknown
139-40-####,1964-unknown
139-42-####,1965-unknown
139-44-####,1966-1967
139-46-####,1968-unknown
139-48-####,1968-1969
139-50-####,1970-unknown
139-52-####,1971-unknown
139-54-####,1972-unknown
139-56-####,1972-unknown
139-58-####,1973-1974
139-60-####,1975-unknown
139-62-####,1975-unknown
139-64-####,1976-unknown
139-66-####,1977-unknown
139-68-####,1978-1979
139-70-####,1980-unknown
139-72-####,1981-unknown
139-74-####,1982-unknown
139-76-####,1983-1984
139-78-####,1985-unknown
139-80-####,1986-unknown
139-82-####,1987-unknown
139-84-####,1988-unknown
139-86-####,1989-1992
139-88-####,1989-1992
139-90-####,1989-1992
139-92-####,1989-1992
139-94-####,1993-unknown
139-96-####,1994-unknown
139-98-####,1995-unknown
140-01-####,1936-1950
140-02-####,1996-1998
140-03-####,1936-1950
140-04-####,1998-unknown
140-05-####,1936-1950
140-06-####,1999-unknown
140-07-####,1936-1950
140-08-####,2000-2001
140-09-####,1936-1950
140-10-####,1936-1950
140-11-####,2002-unknown
140-12-####,1936-1950
140-13-####,2003-2004
140-14-####,1936-1950
140-15-####,2004-2006
140-16-####,1936-1950
140-17-####,2006-2007
140-18-####,1936-1950
140-19-####,2007-2008
140-20-####,1936-1950
140-21-####,2008-2010
140-22-####,1936-1950
140-23-####,2010-2011
140-24-####,1936-1950
140-26-####,1951-unknown
140-28-####,1952-1954
140-30-####,1955-1956
