SSN Prefix,Years Issued
444-02-####,1989-1992
444-03-####,1936-1950
444-04-####,1993-unknown
444-05-####,1936-1950
444-06-####,1995-unknown
444-07-####,1936-1950
444-08-####,1996-1998
444-09-####,1936-1950
444-10-####,1936-1950
444-11-####,1998-unknown
444-12-####,1936-1950
444-13-####,1999-unknown
444-14-####,1936-1950
444-15-####,2001-unknown
444-16-####,1936-1950
444-17-####,2002-2004
444-18-####,1936-1950
444-19-####,2004-2005
444-20-####,1936-1950
444-21-####,2005-2007
444-22-####,1936-1950
444-23-####,2007-2008
444-24-####,1936-1950
444-25-####,2008-2010
444-26-####,1936-1950
444-27-####,2010-2011
444-28-####,1936-1950
444-30-####,1936-1950
444-32-####,1951-unknown
444-34-####,1952-unknown
444-36-####,1953-1954
444-38-####,1955-unknown
444-40-####,1956-1957
444-42-####,1958-1960
444-44-####,1961-unknown
444-46-####,1962-unknown
444-48-####,1963-1964
444-50-####,1965-unknown
444-52-####,1966-unknown
444-54-####,1967-unknown
444-56-####,1968-1969
444-58-####,1970-unknown
444-60-####,1971-unknown
444-62-####,1972-unknown
444-64-####,1973-unknown
444-66-####,1973-unknown
444-68-####,1974-unknown
444-70-####,1975-unknown
444-72-####,1976-1977
444-74-####,1978-unknown
444-76-####,1979-1980
444-78-####,1981-1982
444-80-####,1983-unknown
444-82-####,1983-unknown
444-84-####,1984-1985
444-86-####,1986-unknown
444-88-####,1987-unknown
444-90-####,1987-unknown
444-92-####,1988-unknown
444-94-####,1988-unknown
444-96-####,1989-1992
444-98-####,1989-1992
445-01-####,1936-1950
445-02-####,1989-1992
445-03-####,1936-1950
445-04-####,1993-unknown
445-05-####,1936-1950
445-06-####,1995-unknown
445-07-####,1936-1950
445-08-####,1996-1998
445-09-####,1936-1950
445-10-####,1936-1950
445-11-####,1998-unknown
445-12-####,1936-1950
445-13-####,1999-2000
445-14-####,1936-1950
445-15-####,2001-unknown
445-16-####,1936-1950
445-17-####,2003-2004
445-18-####,1936-1950
445-19-####,2004-2006
445-20-####,1936-1950
445-21-####,2006-2007
445-22-####,1936-1950
445-23-####,2007-2008
445-24-####,1936-1950
445-25-####,2008-2010
445-26-####,1936-1950
445-27-####,2010-2011
445-28-####,1936-1950
445-30-####,1936-1950
445-32-####,1936-1950
445-34-####,1951-1952
445-36-####,1953-1954
445-38-####,1955-1956
445-40-####,1957-1958
445-42-####,1959-1960
