SSN Prefix,Years Issued
249-55-####,1983-unknown
249-56-####,1953-unknown
249-57-####,1984-unknown
249-58-####,1954-unknown
249-59-####,1984-unknown
249-60-####,1955-unknown
249-61-####,1985-unknown
249-62-####,1955-unknown
249-63-####,1986-unknown
249-64-####,1956-unknown
249-65-####,1987-unknown
249-66-####,1957-unknown
249-67-####,1987-unknown
249-68-####,1958-unknown
249-69-####,1987-unknown
249-70-####,1959-unknown
249-71-####,1988-unknown
249-72-####,1960-unknown
249-73-####,1988-unknown
249-74-####,1961-unknown
249-75-####,1988-unknown
249-76-####,1962-unknown
249-77-####,1989-1992
249-78-####,1962-unknown
249-79-####,1989-1992
249-80-####,1963-unknown
249-81-####,1989-1992
249-82-####,1963-unknown
249-83-####,1989-1992
249-84-####,1964-unknown
249-85-####,1989-1992
249-86-####,1965-unknown
249-87-####,1989-1992
249-88-####,1965-unknown
249-89-####,1989-1992
249-90-####,1966-unknown
249-91-####,1993-unknown
249-92-####,1966-unknown
249-93-####,1994-unknown
249-94-####,1967-unknown
249-95-####,1994-unknown
249-96-####,1967-unknown
249-97-####,1995-unknown
249-98-####,1968-unknown
249-99-####,1996-unknown
250-01-####,1952-unknown
250-02-####,1969-unknown
250-03-####,1952-unknown
250-04-####,1970-unknown
250-05-####,1952-unknown
250-06-####,1970-unknown
250-07-####,1952-unknown
250-08-####,1971-unknown
250-09-####,1952-unknown
250-10-####,1952-unknown
250-11-####,1972-unknown
250-12-####,1952-unknown
250-13-####,1972-unknown
250-14-####,1952-unknown
250-15-####,1973-unknown
250-16-####,1952-unknown
250-17-####,1973-unknown
250-18-####,1952-unknown
250-19-####,1973-unknown
250-20-####,1952-unknown
250-21-####,1974-unknown
250-22-####,1952-unknown
250-23-####,1974-unknown
250-24-####,1952-unknown
250-25-####,1974-unknown
250-26-####,1952-unknown
250-27-####,1975-unknown
250-28-####,1952-unknown
250-29-####,1975-unknown
250-30-####,1952-unknown
250-31-####,1976-unknown
250-32-####,1952-unknown
250-33-####,1976-unknown
250-34-####,1952-unknown
250-35-####,1977-unknown
250-36-####,1952-unknown
250-37-####,1978-unknown
250-38-####,1952-unknown
250-39-####,1978-unknown
250-40-####,1952-unknown
250-41-####,1979-unknown
250-42-####,1952-unknown
250-43-####,1980-unknown
250-44-####,1952-unknown
250-45-####,1981-unknown
250-46-####,1952-unknown
250-47-####,1981-unknown
250-48-####,1952-unknown
250-49-####,1982-unknown
250-50-####,1952-unknown
250-51-####,1982-unknown
250-52-####,1952-unknown
250-53-####,1983-unknown
250-54-####,1953-unknown
250-55-####,1983-unknown
250-56-####,1953-unknown
250-57-####,1984-unknown
250-58-####,1954-unknown
250-59-####,1985-unknown
250-60-####,1955-unknown
250-61-####,1985-unknown
250-62-####,1956-unknown
250-63-####,1986-unknown
250-64-####,1956-unknown
250-65-####,1987-unknown
250-66-####,1957-unknown
250-67-####,1987-unknown
250-68-####,1958-unknown
250-69-####,1987-unknown
250-70-####,1959-unknown
250-71-####,1988-unknown
250-72-####,1960-unknown
250-73-####,1988-unknown
250-74-####,1961-unknown
250-75-####,1988-unknown
250-76-####,1962-unknown
250-77-####,1989-1992
250-78-####,1962-unknown
250-79-####,1989-1992
250-80-####,1963-unknown
250-81-####,1989-1992
250-82-####,1963-unknown
250-83-####,1989-1992
250-84-####,1964-unknown
250-85-####,1989-1992
250-86-####,1965-unknown
250-87-####,1989-1992
250-88-####,1965-unknown
250-89-####,1989-1992
250-90-####,1966-unknown
250-91-####,1993-unknown
250-92-####,1966-unknown
250-93-####,1994-unknown
250-94-####,1967-unknown
250-95-####,1994-unknown
250-96-####,1968-unknown
250-97-####,1995-unknown
250-98-####,1968-unknown
250-99-####,1996-unknown
251-01-####,1936-1950
251-02-####,1968-unknown
251-03-####,1936-1950
251-04-####,1969-unknown
251-05-####,1936-1950
251-06-####,1969-unknown
251-07-####,1936-1950
251-08-####,1970-unknown
251-09-####,1936-1950
251-10-####,1936-1950
251-11-####,1971-unknown
251-12-####,1936-1950
251-13-####,1971-unknown
251-14-####,1936-1950
251-15-####,1972-unknown
251-16-####,1936-1950
251-17-####,1972-unknown
251-18-####,1936-1950
251-19-####,1972-unknown
251-20-####,1936-1950
251-21-####,1973-unknown
251-22-####,1936-1950
251-23-####,1973-unknown
251-24-####,1936-1950
251-25-####,1973-unknown
251-26-####,1936-1950
251-27-####,1974-unknown
251-28-####,1936-1950
251-29-####,1974-unknown
251-30-####,1936-1950
251-31-####,1975-unknown
251-32-####,1936-1950
251-33-####,1975-unknown
251-34-####,1936-1950
251-35-####,1976-unknown
251-36-####,1936-1950
251-37-####,1977-unknown
251-38-####,1936-1950
251-39-####,1977-unknown
251-40-####,1936-1950
251-41-####,1978-1979
251-42-####,1936-1950
251-43-####,1980-unknown
251-44-####,1936-1950
251-45-####,1981-unknown
251-46-####,1936-1950
251-47-####,1981-unknown
251-48-####,1936-1950
251-49-####,1982-unknown
251-50-####,1936-1950
251-51-####,1982-unknown
251-52-####,1951-unknown
251-53-####,1983-unknown
251-54-####,1952-unknown
251-55-####,1983-unknown
251-56-####,1953-unknown
251-57-####,1984-unknown
251-58-####,1954-unknown
251-59-####,1985-unknown
251-60-####,1955-unknown
251-61-####,1985-unknown
251-62-####,1956-unknown
251-63-####,1986-unknown
251-64-####,1956-unknown
251-65-####,1987-unknown
251-66-####,1957-unknown
251-67-####,1987-unknown
251-68-####,1958-unknown
251-69-####,1987-unknown
251-70-####,1959-unknown
251-71-####,1988-unknown
251-72-####,1960-unknown
251-73-####,1988-unknown
251-74-####,1961-unknown
251-75-####,1989-1992
251-76-####,1962-unknown
251-77-####,1989-1992
251-78-####,1963-unknown
251-79-####,1989-1992
251-80-####,1963-unknown
251-81-####,1989-1992
251-82-####,1963-unknown
251-83-####,1989-1992
251-84-####,1964-unknown
251-85-####,1989-1992
251-86-####,1965-unknown
251-87-####,1989-1992
251-88-####,1965-unknown
251-89-####,1989-1992
251-90-####,1966-unknown
251-91-####,1993-unknown
251-92-####,1966-unknown
251-93-####,1994-unknown
251-94-####,1966-1967
251-95-####,1995-unknown
251-96-####,1968-unknown
251-97-####,1995-unknown
251-98-####,1968-unknown
251-99-####,1996-unknown
654-01-####,1997-unknown
654-03-####,1997-1998
654-05-####,1998-unknown
654-07-####,1999-unknown
654-09-####,2000-unknown
654-10-####,2001-unknown
654-12-####,2001-2002
654-14-####,2002-unknown
654-16-####,2003-2004
654-18-####,2004-unknown
654-20-####,2004-2005
654-22-####,2005-2006
654-24-####,2006-2007
654-26-####,2007-unknown
654-28-####,2007-2008
654-30-####,2008-2009
654-32-####,2009-unknown
654-34-####,2009-2010
654-36-####,2010-2011
654-38-####,2011-unknown
655-01-####,1997-unknown
655-03-####,1998-unknown
655-05-####,1998-unknown
655-07-####,1999-unknown
655-09-####,2000-unknown
655-10-####,2001-unknown
655-12-####,2002-unknown
655-14-####,2002-unknown
655-16-####,2003-2004
655-18-####,2004-2005
655-20-####,2005-unknown
655-22-####,2005-2006
