SSN Prefix,Years Issued
390-82-####,1979-unknown
390-84-####,1979-unknown
390-86-####,1980-unknown
390-88-####,1981-1982
390-90-####,1983-unknown
390-92-####,1984-unknown
390-94-####,1985-unknown
390-96-####,1986-unknown
390-98-####,1987-unknown
391-01-####,1936-1950
391-02-####,1988-unknown
391-03-####,1936-1950
391-04-####,1989-1992
391-05-####,1936-1950
391-06-####,1989-1992
391-07-####,1936-1950
391-08-####,1989-1992
391-09-####,1936-1950
391-10-####,1936-1950
391-11-####,1993-unknown
391-12-####,1936-1950
391-13-####,1994-unknown
391-14-####,1936-1950
391-15-####,1996-unknown
391-16-####,1936-1950
391-17-####,1997-1998
391-18-####,1936-1950
391-19-####,1999-unknown
391-20-####,1936-1950
391-21-####,2001-unknown
391-22-####,1936-1950
391-23-####,2002-2004
391-24-####,1936-1950
391-25-####,2004-2005
391-26-####,1936-1950
391-27-####,2005-2007
391-28-####,1936-1950
391-29-####,2007-2008
391-30-####,1936-1950
391-31-####,2008-2010
391-32-####,1951-1952
391-33-####,2010-2011
391-34-####,1953-1954
391-36-####,1955-unknown
391-38-####,1956-1957
391-40-####,1958-1959
391-42-####,1960-unknown
391-44-####,1961-1962
391-46-####,1963-unknown
391-48-####,1963-unknown
391-50-####,1964-unknown
391-52-####,1965-unknown
391-54-####,1966-unknown
391-56-####,1967-unknown
391-58-####,1968-unknown
391-60-####,1969-unknown
391-62-####,1970-unknown
391-64-####,1971-unknown
391-66-####,1972-unknown
391-68-####,1973-unknown
391-70-####,1973-unknown
391-72-####,1974-unknown
391-74-####,1974-unknown
391-76-####,1975-unknown
391-78-####,1976-unknown
391-80-####,1977-1978
391-82-####,1979-unknown
391-84-####,1979-unknown
391-86-####,1980-unknown
391-88-####,1981-1982
391-90-####,1983-unknown
391-92-####,1984-unknown
391-94-####,1985-unknown
391-96-####,1986-unknown
391-98-####,1987-unknown
392-01-####,1936-1950
392-02-####,1988-unknown
392-03-####,1936-1950
392-04-####,1989-1992
392-05-####,1936-1950
392-06-####,1989-1992
392-07-####,1936-1950
392-08-####,1989-1992
392-09-####,1936-1950
392-10-####,1936-1950
392-11-####,1993-unknown
392-12-####,1936-1950
392-13-####,1994-unknown
392-14-####,1936-1950
392-15-####,1996-unknown
392-16-####,1936-1950
392-17-####,1997-1998
392-18-####,1936-1950
392-19-####,1999-unknown
392-20-####,1936-1950
392-21-####,2001-unknown
392-22-####,1936-1950
392-23-####,2002-2004
392-24-####,1936-1950
392-25-####,2004-2005
392-26-####,1936-1950
392-27-####,2005-2007
392-28-####,1936-1950
392-29-####,2007-2009
392-30-####,1936-1950
392-31-####,2009-2010
392-32-####,1951-1952
392-33-####,2010-2011
392-34-####,1953-1954
392-36-####,1955-unknown
392-38-####,1956-1957
392-40-####,1958-1959
392-42-####,1960-unknown
392-44-####,1961-1962
392-46-####,1963-unknown
392-48-####,1963-unknown
392-50-####,1964-unknown
392-52-####,1965-unknown
392-54-####,1966-unknown
392-56-####,1967-unknown
392-58-####,1968-unknown
392-60-####,1969-unknown
392-62-####,1970-unknown
392-64-####,1971-unknown
392-66-####,1972-unknown
392-68-####,1973-unknown
392-70-####,1973-unknown
392-72-####,1974-unknown
392-74-####,1975-unknown
392-76-####,1975-unknown
392-78-####,1976-unknown
392-80-####,1977-1978
392-82-####,1979-unknown
392-84-####,1979-unknown
392-86-####,1980-1981
392-88-####,1982-unknown
392-90-####,1983-unknown
392-92-####,1984-unknown
392-94-####,1985-1986
392-96-####,1987-unknown
392-98-####,1987-unknown
393-01-####,1936-1950
393-02-####,1988-unknown
393-03-####,1936-1950
393-04-####,1989-1992
393-05-####,1936-1950
393-06-####,1989-1992
393-07-####,1936-1950
393-08-####,1989-1992
393-09-####,1936-1950
393-10-####,1936-1950
393-11-####,1993-unknown
