SSN Prefix,Years Issued
263-53-####,1974-unknown
263-54-####,1954-unknown
263-55-####,1974-unknown
263-56-####,1955-unknown
263-57-####,1974-unknown
263-58-####,1956-unknown
263-59-####,1974-unknown
263-60-####,1956-unknown
263-61-####,1975-unknown
263-62-####,1957-unknown
263-63-####,1975-unknown
263-64-####,1958-unknown
263-65-####,1975-unknown
263-66-####,1959-unknown
263-67-####,1975-unknown
263-68-####,1960-unknown
263-69-####,1976-unknown
263-70-####,1960-unknown
263-71-####,1976-unknown
263-72-####,1961-unknown
263-73-####,1976-unknown
263-74-####,1962-unknown
263-75-####,1976-unknown
263-76-####,1962-unknown
263-77-####,1977-unknown
263-78-####,1962-unknown
263-79-####,1977-unknown
263-80-####,1963-unknown
263-81-####,1977-unknown
263-82-####,1963-unknown
263-83-####,1978-unknown
263-84-####,1963-unknown
263-85-####,1978-unknown
263-86-####,1963-unknown
263-87-####,1979-unknown
263-88-####,1963-unknown
263-89-####,1979-unknown
263-90-####,1964-unknown
263-91-####,1979-unknown
263-92-####,1964-unknown
263-93-####,1980-unknown
263-94-####,1965-unknown
263-95-####,1980-unknown
263-96-####,1965-unknown
263-97-####,1980-unknown
263-98-####,1965-unknown
263-99-####,1980-unknown
264-01-####,1936-1950
264-02-####,1967-unknown
264-03-####,1936-1950
264-04-####,1967-unknown
264-05-####,1936-1950
264-06-####,1967-unknown
264-07-####,1936-1950
264-08-####,1967-unknown
264-09-####,1936-1950
264-10-####,1936-1950
264-11-####,1967-unknown
264-12-####,1936-1950
264-13-####,1967-unknown
264-14-####,1936-1950
264-15-####,1968-unknown
264-16-####,1936-1950
264-17-####,1968-unknown
264-18-####,1936-1950
264-19-####,1969-unknown
264-20-####,1936-1950
264-21-####,1969-unknown
264-22-####,1936-1950
264-23-####,1969-unknown
264-24-####,1936-1950
264-25-####,1970-unknown
264-26-####,1936-1950
264-27-####,1970-unknown
264-28-####,1936-1950
264-29-####,1970-unknown
264-30-####,1936-1950
264-31-####,1971-unknown
264-32-####,1936-1950
264-33-####,1971-unknown
264-34-####,1936-1950
264-35-####,1971-unknown
264-36-####,1936-1950
264-37-####,1972-unknown
264-38-####,1936-1950
264-39-####,1972-unknown
264-40-####,1936-1950
264-41-####,1973-unknown
264-42-####,1936-1950
264-43-####,1973-unknown
264-44-####,1936-1950
264-45-####,1973-unknown
264-46-####,1936-1950
264-47-####,1973-unknown
264-48-####,1951-unknown
264-49-####,1973-unknown
264-50-####,1952-unknown
264-51-####,1973-unknown
264-52-####,1953-unknown
264-53-####,1974-unknown
264-54-####,1954-unknown
264-55-####,1974-unknown
264-56-####,1955-unknown
264-57-####,1974-unknown
264-58-####,1956-unknown
264-59-####,1974-unknown
264-60-####,1956-unknown
264-61-####,1975-unknown
264-62-####,1957-unknown
264-63-####,1975-unknown
264-64-####,1958-unknown
264-65-####,1975-unknown
264-66-####,1959-unknown
264-67-####,1975-unknown
264-68-####,1960-unknown
264-69-####,1976-unknown
264-70-####,1960-unknown
264-71-####,1976-unknown
264-72-####,1961-unknown
264-73-####,1976-unknown
264-74-####,1962-unknown
264-75-####,1976-unknown
264-76-####,1962-unknown
264-77-####,1977-unknown
264-78-####,1962-unknown
264-79-####,1977-unknown
264-80-####,1963-unknown
264-81-####,1977-unknown
264-82-####,1963-unknown
264-83-####,1978-unknown
264-84-####,1963-unknown
264-85-####,1978-unknown
264-86-####,1963-unknown
264-87-####,1979-unknown
264-88-####,1964-unknown
264-89-####,1979-unknown
264-90-####,1964-unknown
264-91-####,1979-unknown
264-92-####,1965-unknown
264-93-####,1980-unknown
264-94-####,1965-unknown
264-95-####,1980-unknown
264-96-####,1965-unknown
264-97-####,1980-unknown
264-98-####,1965-unknown
264-99-####,1980-unknown
265-01-####,1936-1950
265-02-####,1967-unknown
265-03-####,1936-1950
265-04-####,1967-unknown
265-05-####,1936-1950
265-06-####,1967-unknown
265-07-####,1936-1950
265-08-####,1967-unknown
265-09-####,1936-1950
265-10-####,1936-1950
265-11-####,1967-unknown
265-12-####,1936-1950
265-13-####,1967-unknown
265-14-####,1936-1950
265-15-####,1968-unknown
265-16-####,1936-1950
265-17-####,1968-unknown
265-18-####,1936-1950
265-19-####,1969-unknown
265-20-####,1936-1950
265-21-####,1969-unknown
265-22-####,1936-1950
265-23-####,1969-unknown
265-24-####,1936-1950
265-25-####,1970-unknown
265-26-####,1936-1950
265-27-####,1970-unknown
265-28-####,1936-1950
265-29-####,1970-unknown
265-30-####,1936-1950
265-31-####,1971-unknown
265-32-####,1936-1950
265-33-####,1971-unknown
265-34-####,1936-1950
265-35-####,1971-unknown
265-36-####,1936-1950
265-37-####,1972-unknown
265-38-####,1936-1950
265-39-####,1972-unknown
265-40-####,1936-1950
265-41-####,1973-unknown
265-42-####,1936-1950
265-43-####,1973-unknown
265-44-####,1936-1950
265-45-####,1973-unknown
265-46-####,1936-1950
265-47-####,1973-unknown
265-48-####,1951-unknown
265-49-####,1973-unknown
265-50-####,1952-unknown
265-51-####,1973-unknown
265-52-####,1953-unknown
265-53-####,1974-unknown
265-54-####,1954-unknown
265-55-####,1974-unknown
265-56-####,1955-unknown
265-57-####,1974-unknown
265-58-####,1956-unknown
265-59-####,1974-unknown
265-60-####,1956-unknown
265-61-####,1975-unknown
265-62-####,1957-unknown
265-63-####,1975-unknown
265-64-####,1958-unknown
265-65-####,1975-unknown
265-66-####,1959-unknown
265-67-####,1975-unknown
265-68-####,1960-unknown
265-69-####,1976-unknown
265-70-####,1961-unknown
265-71-####,1976-unknown
265-72-####,1961-unknown
265-73-####,1976-unknown
265-74-####,1962-unknown
265-75-####,1977-unknown
265-76-####,1962-unknown
265-77-####,1977-unknown
265-78-####,1963-unknown
265-79-####,1977-unknown
265-80-####,1963-unknown
265-81-####,1977-unknown
265-82-####,1963-unknown
265-83-####,1978-unknown
265-84-####,1963-unknown
265-85-####,1978-unknown
265-86-####,1963-unknown
265-87-####,1979-unknown
265-88-####,1964-unknown
265-89-####,1979-unknown
265-90-####,1964-unknown
265-91-####,1979-unknown
265-92-####,1964-unknown
