SSN Prefix,Years Issued
164-82-####,2003-2006
164-84-####,2006-2009
164-86-####,2009-2011
165-01-####,1936-1950
165-03-####,1936-1950
165-05-####,1936-1950
165-07-####,1936-1950
165-09-####,1936-1950
165-10-####,1936-1950
165-12-####,1936-1950
165-14-####,1936-1950
165-16-####,1936-1950
165-18-####,1936-1950
165-20-####,1936-1950
165-22-####,1936-1950
165-24-####,1936-1950
165-26-####,1936-1950
165-28-####,1951-1952
165-30-####,1953-1955
165-32-####,1956-1958
165-34-####,1959-1961
165-36-####,1962-unknown
165-38-####,1963-1964
165-40-####,1965-unknown
165-42-####,1966-1967
165-44-####,1968-unknown
165-46-####,1969-1970
165-48-####,1971-1972
165-50-####,1973-unknown
165-52-####,1973-1974
165-54-####,1975-unknown
165-56-####,1976-unknown
165-58-####,1977-1978
165-60-####,1979-1980
165-62-####,1981-1982
165-64-####,1983-1984
165-66-####,1985-1986
165-68-####,1987-unknown
165-70-####,1988-unknown
165-72-####,1989-1992
165-74-####,1989-1992
165-76-####,1995-1998
165-78-####,1998-unknown
165-80-####,2001-2003
165-82-####,2003-2006
165-84-####,2006-2009
165-86-####,2009-2011
166-01-####,1936-1950
166-03-####,1936-1950
166-05-####,1936-1950
166-07-####,1936-1950
166-09-####,1936-1950
166-10-####,1936-1950
166-12-####,1936-1950
166-14-####,1936-1950
166-16-####,1936-1950
166-18-####,1936-1950
166-20-####,1936-1950
166-22-####,1936-1950
166-24-####,1936-1950
166-26-####,1936-1950
166-28-####,1951-1952
166-30-####,1953-1955
166-32-####,1956-1958
166-34-####,1959-1960
166-36-####,1961-1962
166-38-####,1963-1964
166-40-####,1965-unknown
166-42-####,1966-1967
166-44-####,1968-unknown
166-46-####,1969-1970
166-48-####,1971-1972
166-50-####,1973-unknown
166-52-####,1973-1974
166-54-####,1975-unknown
166-56-####,1976-unknown
166-58-####,1977-1978
166-60-####,1979-1980
166-62-####,1981-1982
166-64-####,1983-1984
166-66-####,1985-1986
166-68-####,1987-unknown
166-70-####,1988-unknown
166-72-####,1989-1992
166-74-####,1989-1992
166-76-####,1995-1998
166-78-####,1998-unknown
166-80-####,2001-2004
166-82-####,2004-2006
166-84-####,2006-2009
166-86-####,2009-2011
167-01-####,1936-1950
167-03-####,1936-1950
167-05-####,1936-1950
167-07-####,1936-1950
167-09-####,1936-1950
167-10-####,1936-1950
167-12-####,1936-1950
167-14-####,1936-1950
167-16-####,1936-1950
167-18-####,1936-1950
167-20-####,1936-1950
167-22-####,1936-1950
167-24-####,1936-1950
167-26-####,1936-1950
167-28-####,1951-1952
167-30-####,1953-1955
167-32-####,1956-1958
167-34-####,1959-1960
167-36-####,1961-1962
167-38-####,1963-1964
167-40-####,1965-unknown
167-42-####,1966-1967
167-44-####,1968-unknown
167-46-####,1969-1970
167-48-####,1971-1972
167-50-####,1973-unknown
167-52-####,1973-1974
167-54-####,1975-unknown
167-56-####,1976-unknown
167-58-####,1977-1978
167-60-####,1979-1980
167-62-####,1981-1982
167-64-####,1983-1984
167-66-####,1985-1986
167-68-####,1987-unknown
167-70-####,1988-unknown
167-72-####,1989-1992
167-74-####,1989-1992
167-76-####,1995-1998
167-78-####,1998-unknown
167-80-####,2001-2004
167-82-####,2004-2007
167-84-####,2007-2009
167-86-####,2009-2011
168-01-####,1936-1950
168-03-####,1936-1950
168-05-####,1936-1950
168-07-####,1936-1950
168-09-####,1936-1950
168-10-####,1936-1950
168-12-####,1936-1950
168-14-####,1936-1950
168-16-####,1936-1950
168-18-####,1936-1950
168-20-####,1936-1950
168-22-####,1936-1950
168-24-####,1936-1950
168-26-####,1936-1950
168-28-####,1951-1952
168-30-####,1953-1955
168-32-####,1956-1958
168-34-####,1959-1961
168-36-####,1962-unknown
168-38-####,1963-1964
168-40-####,1965-unknown
168-42-####,1966-1967
168-44-####,1968-unknown
168-46-####,1969-1970
168-48-####,1971-1972
168-50-####,1973-unknown
168-52-####,1973-1974
168-54-####,1975-unknown
168-56-####,1976-unknown
168-58-####,1977-1978
168-60-####,1979-1980
168-62-####,1981-1982
168-64-####,1983-1984
168-66-####,1985-1986
168-68-####,1987-1988
168-70-####,1989-1992
168-72-####,1989-1992
168-74-####,1989-1992
168-76-####,1995-1998
168-78-####,1998-unknown
168-80-####,2001-2004
168-82-####,2004-2007
168-84-####,2007-2009
168-86-####,2009-2011
169-01-####,1936-1950
169-03-####,1936-1950
169-05-####,1936-1950
169-07-####,1936-1950
169-09-####,1936-1950
169-10-####,1936-1950
169-12-####,1936-1950
169-14-####,1936-1950
169-16-####,1936-1950
169-18-####,1936-1950
169-20-####,1936-1950
169-22-####,1936-1950
169-24-####,1936-1950
169-26-####,1936-1950
169-28-####,1951-1952
169-30-####,1953-1955
169-32-####,1956-1958
169-34-####,1959-1961
169-36-####,1962-unknown
169-38-####,1963-1964
169-40-####,1965-unknown
169-42-####,1966-1967
169-44-####,1968-unknown
169-46-####,1969-1970
169-48-####,1971-1972
169-50-####,1973-unknown
169-52-####,1973-1974
169-54-####,1975-unknown
169-56-####,1976-unknown
169-58-####,1977-1978
169-60-####,1979-1980
169-62-####,1981-1982
169-64-####,1983-1985
169-66-####,1986-unknown
169-68-####,1987-1988
169-70-####,1989-1992
169-72-####,1989-1992
169-74-####,1989-1992
169-76-####,1995-1998
169-78-####,1998-unknown
169-80-####,2001-2004
169-82-####,2004-2007
169-84-####,2007-2009
169-86-####,2009-2011
170-01-####,1936-1950
170-03-####,1936-1950
170-05-####,1936-1950
170-07-####,1936-1950
170-09-####,1936-1950
170-10-####,1936-1950
170-12-####,1936-1950
170-14-####,1936-1950
170-16-####,1936-1950
170-18-####,1936-1950
170-20-####,1936-1950
170-22-####,1936-1950
170-24-####,1936-1950
170-26-####,1936-1950
170-28-####,1951-1952
170-30-####,1953-1955
170-32-####,1956-1958
170-34-####,1959-1961
170-36-####,1962-unknown
170-38-####,1963-1964
170-40-####,1965-unknown
170-42-####,1966-1967
170-44-####,1968-unknown
170-46-####,1969-1970
170-48-####,1971-1972
170-50-####,1973-unknown
170-52-####,1973-1974
170-54-####,1975-unknown
170-56-####,1976-unknown
170-58-####,1977-1978
170-60-####,1979-1980
170-62-####,1981-1982
170-64-####,1983-1985
170-66-####,1986-unknown
170-68-####,1987-1988
170-70-####,1989-1992
170-72-####,1989-1992
170-74-####,1989-1992
